Weight_Density,Charge_Cycle,Charge_Description,Charge_ID,Contract_Start_Date,SK_Contract_Start_Date,SK_Charge,Price,SOURCE_SYSTEM,Contract_Stop_Date,Contract_Type,Charge_Waste_Code,Charge_Waste_Code_Description,Is_Contracted,Units,Is_Deleted,Deletion_Date,Charge_Frequency
C50,2,Clear 660LT Co-Mingle Car,CH284585,2021-04-07 00:00:00.0000000,20210407,1389787,45.320,VRP,2024-05-07 00:00:00.0000000,SN,30,Comingle Recycle,1,1.000,0,NULL,21
C230,R,Clear 3.0M Bin,CH298921,2020-07-29 00:00:00.0000000,20200729,656421,294.210,VRP,2021-07-29 00:00:00.0000000,S1,NULL,NULL,0,1.000,0,NULL,REQ
NULL,8,Grease Trap Serv Nil Chg,CH128050,2020-01-01 00:00:00.0000000,20200101,654638,0.000,VRP,2022-12-31 00:00:00.0000000,D,K110,Grease Trap Waste,1,2000.000,0,NULL,84
NULL,M,Rent Monthly 240LT Cart,CH49548,2017-07-12 00:00:00.0000000,20170712,497703,2.100,VRP,2020-07-12 00:00:00.0000000,S3,NULL,NULL,0,2.000,0,NULL,NULL
NULL,1,Rebate for Cardboard,CH106111,2020-01-01 00:00:00.0000000,20200101,758004,0.000,VRP,2022-12-31 00:00:00.0000000,D,10,Cardboard Recycle,1,1.000,0,NULL,11
C80,1,Clear 1100LT Co-Mingle Ca,CH59040,2019-10-07 00:00:00.0000000,20191007,458302,28.300,VRP,2020-10-07 00:00:00.0000000,RN,30,Comingle Recycle,0,1.000,0,NULL,11
NULL,Y00,12 Mth Rent 1.1M Bin,CH163247,2020-08-24 00:00:00.0000000,20200824,348289,0.000,VRP,2022-08-24 00:00:00.0000000,RN,NULL,NULL,0,1.000,0,NULL,NULL
NULL,W,Equipment Hire,CH129696,2020-01-01 00:00:00.0000000,20200101,95494,0.000,VRP,2022-12-31 00:00:00.0000000,D,NULL,NULL,0,10.000,0,NULL,NULL
NULL,W,Rent 4.5M Bin (HL),CH117339,2017-09-13 00:00:00.0000000,20170913,623694,25.380,VRP,2020-08-30 00:00:00.0000000,D,NULL,NULL,0,1.000,0,NULL,NULL
C60,R,Clear 240LT Conf Cart,CH238843,2019-03-05 00:00:00.0000000,20190305,861584,34.500,VRP,2022-03-04 00:00:00.0000000,R3,NULL,NULL,1,1.000,1,2021-10-14 09:05:41.4960000,REQ
E56,1,Clear 3.0M Bin,CH223831,2021-07-01 00:00:00.0000000,20210701,601264,48.880,VRP,2021-08-31 00:00:00.0000000,RO,NULL,NULL,0,1.000,1,2021-09-17 20:09:32.1090000,NULL
NULL,2,Clear 240LT Cytotoxic Bin,CH138855,2014-07-01 00:00:00.0000000,20140701,1497082,97.630,VRP,2019-07-01 00:00:00.0000000,D,NULL,NULL,0,1.000,0,NULL,22
C80,R,Clear 1.5M Bin,CH64999,2019-06-14 00:00:00.0000000,20190614,485229,96.100,VRP,2024-06-14 00:00:00.0000000,SN,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
NULL,2,Clear 1100LT Cart,CH222342,2020-08-05 00:00:00.0000000,20200805,848901,55.220,VRP,2023-08-04 00:00:00.0000000,SN,NULL,NULL,1,NULL,1,2021-08-31 07:48:37.9030000,NULL
NULL,R,Clear 30M Bin Nil Charge,CH193544,2020-01-01 00:00:00.0000000,NULL,97864,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
NULL,R,Tip P/Tonne 15M Bin (HL),CH392473,2014-07-01 00:00:00.0000000,20140701,582902,207.300,VRP,2014-12-31 00:00:00.0000000,SO,NULL,NULL,0,1.000,0,NULL,REQ
NULL,W,Rent 240LT Cart,CH37425,2019-01-14 00:00:00.0000000,20190114,503842,4.400,VRP,2022-01-14 00:00:00.0000000,R3,NULL,NULL,0,2.000,0,NULL,NULL
C40,1,Clear 1.5M Recycle Bin,CH46613,2020-07-06 00:00:00.0000000,20200706,234055,17.930,VRP,2021-07-05 00:00:00.0000000,SN,NULL,NULL,0,1.000,0,NULL,11
C80,R,Clear 4.5M Bin,CH209378,2020-01-24 00:00:00.0000000,20200124,653020,149.260,VRP,2023-01-23 00:00:00.0000000,S3,NULL,NULL,1,1.000,0,NULL,REQ
c60,1,Clear 3.0M Recycle Bin,CH164703,2019-04-26 00:00:00.0000000,20190426,422637,14.360,VRP,2020-04-25 00:00:00.0000000,SN,NULL,NULL,0,1.000,0,NULL,11
NULL,M,Rent Monthly 3.0M Recycle,CH501139,2019-12-01 00:00:00.0000000,20191201,763140,17.330,VRP,2020-11-30 00:00:00.0000000,X,NULL,NULL,0,1.000,0,NULL,NULL
c100,2,Clear 1.5M Bin,CH1780,2018-08-07 00:00:00.0000000,20180807,484690,85.010,VRP,2021-08-06 00:00:00.0000000,SN,NULL,NULL,0,1.000,0,NULL,21
E319,4,Clear 3.0M Bin,CH16598,2016-02-10 00:00:00.0000000,20160210,615936,280.440,VRP,2018-02-10 00:00:00.0000000,S2,NULL,NULL,0,1.000,0,NULL,43
NULL,M,Rent Monthly 20M Bin (HL),CH189620,2021-03-19 00:00:00.0000000,20210319,592872,101.300,VRP,2022-03-19 00:00:00.0000000,R1,NULL,NULL,0,1.000,0,NULL,NULL
NULL,R,Clear 30M Bin Nil Charge,CH529629,2021-04-29 00:00:00.0000000,20210429,1405048,0.000,VRP,2022-04-29 00:00:00.0000000,T,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
E80,R,Transportation P/Hour,CH229326,2021-02-04 00:00:00.0000000,20210204,883312,150.000,VRP,2022-02-04 00:00:00.0000000,S1,NULL,NULL,1,5.500,0,NULL,REQ
C100,1,Clear 3.0M Bin,CH82854,2017-01-23 00:00:00.0000000,20170123,730214,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
NULL,W,Rent 660LT Cart,CH209112,2020-03-02 00:00:00.0000000,20200302,642871,3.500,VRP,2024-03-02 00:00:00.0000000,S4,NULL,NULL,0,1.000,0,NULL,NULL
NULL,1,Rebate for Cardboard,CH132207,2020-01-01 00:00:00.0000000,20200101,279296,0.000,VRP,2022-12-31 00:00:00.0000000,D,10,Cardboard Recycle,1,1.000,0,NULL,11
NULL,R,Tip P/Tonne 7.5M Bin (LO),CH220413,2021-05-10 00:00:00.0000000,20210510,1411226,164.000,VRP,2021-07-31 00:00:00.0000000,T,NULL,NULL,0,1.000,0,NULL,REQ
E25,1,Clear 4.5M Recycle Bin,CH54747,2020-05-01 00:00:00.0000000,20200501,773706,51.000,VRP,2023-04-30 00:00:00.0000000,D,NULL,NULL,1,1.000,0,NULL,11
C100,1,Clear 1.5M Bin,CH298010,2021-07-22 00:00:00.0000000,20210722,652768,71.060,VRP,2022-07-22 00:00:00.0000000,R1,NULL,NULL,1,1.000,0,NULL,11
E350,1,Clear 3.0M Bin,CH14546,2020-11-01 00:00:00.0000000,20201101,762264,93.560,VRP,2024-11-01 00:00:00.0000000,R4,NULL,NULL,1,4.000,0,NULL,11
C120,R,Clear 3.0M Bin,CH172264,2017-02-13 00:00:00.0000000,20170213,684996,263.000,VRP,2020-02-13 00:00:00.0000000,SN,NULL,NULL,0,1.000,0,NULL,REQ
C100,1,Clear 3.0M Bin,CH172048,2019-11-01 00:00:00.0000000,20191101,104536,69.500,VRP,2020-10-30 00:00:00.0000000,X,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
NULL,R,Tip P/LTR WasteSafe,CH305358,2020-12-01 00:00:00.0000000,20201201,844967,0.113,VRP,2021-12-01 00:00:00.0000000,S1,NULL,NULL,1,2000.000,0,NULL,REQ
C80,2,Clear 240LT Cart,CH68405,2021-08-17 00:00:00.0000000,20210817,1490827,17.820,VRP,2024-08-17 00:00:00.0000000,SN,60,General Dry Waste only,1,1.000,0,NULL,21
NULL,R,Clear 3.0M Clean Up Bin,CH211291,2020-09-07 00:00:00.0000000,NULL,816647,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
E105,1,Clear 3.0M Bin Nil Charge,CH58343,2014-10-22 00:00:00.0000000,20141022,783482,0.000,VRP,2017-08-31 00:00:00.0000000,D,NULL,NULL,0,2.000,0,NULL,11
