Weight_Density,Charge_Cycle,Charge_Description,Charge_ID,Contract_Start_Date,SK_Contract_Start_Date,SK_Charge,Price,SOURCE_SYSTEM,Contract_Stop_Date,Contract_Type,Charge_Waste_Code,Charge_Waste_Code_Description,Is_Contracted,Units,Is_Deleted,Deletion_Date,Charge_Frequency
E247,1,Clear 3.0M Bin,CH38617,2015-06-11 00:00:00.0000000,20150611,744108,153.540,VRP,2018-06-11 00:00:00.0000000,R3,NULL,NULL,0,1.000,0,NULL,11
NULL,M,Rent Monthly 1.5M Recycle,CH101765,2017-01-13 00:00:00.0000000,20170113,756177,5.000,VRP,2018-01-13 00:00:00.0000000,SO,NULL,NULL,0,1.000,0,NULL,NULL
NULL,R,Tip P/Load 6.0M Bin (LO),CH133532,2021-02-05 00:00:00.0000000,20210205,881867,0.000,VRP,2021-05-05 00:00:00.0000000,T,NULL,NULL,0,1.000,1,2021-11-15 01:51:51.6720000,REQ
NULL,R,Tip P/Tonne 10M Bin (HL),CH293929,2020-03-09 00:00:00.0000000,20200309,463600,87.000,VRP,2023-03-08 00:00:00.0000000,D,NULL,NULL,1,1.000,0,NULL,REQ
E60,1,Clear 660LT Co-Mingle Car,CH299424,2020-07-01 00:00:00.0000000,20200701,736169,21.560,VRP,2022-06-30 00:00:00.0000000,R2,NULL,NULL,1,1.000,0,NULL,11
NULL,R,Tip P/Tonne 30M Bin (HL),CH507710,2020-02-19 00:00:00.0000000,20200219,795486,70.460,VRP,2021-02-18 00:00:00.0000000,SO,NULL,NULL,0,1.000,1,2021-11-15 01:51:51.6720000,REQ
NULL,8,Grease Trap Serv Nil Chg,CH105428,2020-01-01 00:00:00.0000000,20200101,783093,0.000,VRP,2022-12-31 00:00:00.0000000,D,K110,Grease Trap Waste,1,2000.000,0,NULL,84
NULL,R,Clear 9.0M Skip Bin,CH538896,2021-09-15 00:00:00.0000000,20210915,1521467,190.000,VRP,2022-09-14 00:00:00.0000000,N,NULL,NULL,0,1.000,1,2021-11-15 01:51:51.6720000,REQ
C250,R,Clear 3.0M Bin,CH234253,2021-05-10 00:00:00.0000000,20210510,446169,202.880,VRP,2024-05-10 00:00:00.0000000,RN,N004,Dust,1,1.000,0,NULL,REQ
E25,1,Clear 360LT Rec Nil Chg,CH180469,2017-06-30 00:00:00.0000000,20170630,509126,0.000,VRP,2050-06-30 00:00:00.0000000,D,NULL,NULL,1,3.000,0,NULL,11
DCXDABSAAC,R,Rebate for Cardboard,CH513830,2019-07-01 00:00:00.0000000,20190701,634675,243.000,VRP,2024-06-30 00:00:00.0000000,D,NULL,NULL,1,1.000,0,NULL,REQ
NULL,12,Grease Trap Service P/LTR,CH67921,2021-05-03 00:00:00.0000000,20210503,1407254,0.210,VRP,2023-05-03 00:00:00.0000000,SN,NULL,NULL,1,1285.000,0,NULL,C1
NULL,R,Tip P/Load 8.0M Bin (LO),CH138929,2021-08-27 00:00:00.0000000,20210827,1498494,0.000,VRP,2022-02-27 00:00:00.0000000,T,NULL,NULL,0,1.000,1,2021-09-10 19:57:49.6030000,NULL
NULL,W,Rent 3.0M Bin,CH187403,2018-02-01 00:00:00.0000000,20180201,517926,3.500,VRP,2020-02-01 00:00:00.0000000,S2,NULL,NULL,0,1.000,0,NULL,NULL
NULL,1,Rebate for Plastic,CH138140,2020-01-01 00:00:00.0000000,20200101,445242,0.000,VRP,2022-12-31 00:00:00.0000000,D,20,Plastic-LDPE Recycle,1,1.000,0,NULL,11
E145,R,Clear 15M Bin (HL),CH392469,2014-07-01 00:00:00.0000000,20140701,504397,480.100,VRP,2014-12-31 00:00:00.0000000,SO,NULL,NULL,0,1.000,0,NULL,REQ
NULL,W,Rent 1.5M Bin,CH72867,2019-10-04 00:00:00.0000000,20191004,275909,5.600,VRP,2020-10-04 00:00:00.0000000,RN,NULL,NULL,0,1.000,0,NULL,NULL
BA8BABBA2C,1,Clear 3.0M Recycle Bin,CH316095,2021-08-01 00:00:00.0000000,20210801,736171,24.270,VRP,2022-07-31 00:00:00.0000000,D,NULL,NULL,1,1.000,0,NULL,11
NULL,R,Clear 12M Skip Bin,CH253370,2018-04-24 00:00:00.0000000,20180424,178190,285.600,VRP,2021-03-02 00:00:00.0000000,N,NULL,NULL,0,1.000,0,NULL,REQ
C20,1,Clear 240LT Cart,CH271652,2018-12-11 00:00:00.0000000,20181211,510148,17.220,VRP,2020-12-11 00:00:00.0000000,S2,NULL,NULL,0,3.000,0,NULL,11
C120,8,Clear 1.5M Bin,CH181255,2020-03-31 00:00:00.0000000,20200331,548097,82.910,VRP,2021-03-31 00:00:00.0000000,R1,NULL,NULL,0,1.000,0,NULL,84
C100,1,Clear 1100LT Cart Nil Chg,CH219291,2021-05-18 00:00:00.0000000,20210518,1420325,0.000,VRP,2024-05-18 00:00:00.0000000,D,NULL,NULL,1,6.000,0,NULL,NULL
E104,R,Clear 1.5M Bin,CH203658,2015-09-15 00:00:00.0000000,20150915,371214,87.780,VRP,2016-09-15 00:00:00.0000000,S1,NULL,NULL,0,1.000,0,NULL,REQ
NULL,R,Clear 10M Bin,CH249311,2021-08-03 00:00:00.0000000,20210803,1482728,198.000,VRP,2021-11-03 00:00:00.0000000,T,NULL,NULL,0,1.000,1,2021-08-31 07:48:37.9030000,NULL
C80,1,Clear 240LT Cart,CH196200,2021-01-01 00:00:00.0000000,20210101,418751,8.100,VRP,2022-12-31 00:00:00.0000000,D,60,General Dry Waste only,1,9.000,0,NULL,11
NULL,R,Clear 5.0M Bin (LO),CH215387,2020-08-17 00:00:00.0000000,20200817,744273,309.000,VRP,2021-08-16 00:00:00.0000000,T,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
C80,2,Clear 240LT Cart,CH239981,2021-08-01 00:00:00.0000000,20210801,871796,13.400,VRP,2022-06-30 00:00:00.0000000,SN,NULL,NULL,1,13.000,0,NULL,22
E60,1,Clear 1100LT Co-Mingle Ni,CH240511,2019-11-01 00:00:00.0000000,20191101,1418473,0.000,VRP,2020-06-01 00:00:00.0000000,D,NULL,NULL,0,1.000,0,NULL,11
C80,1,Clear 660LT Cart,CH405741,2019-11-08 00:00:00.0000000,20191108,486543,22.410,VRP,2022-11-07 00:00:00.0000000,R3,NULL,NULL,1,2.000,0,NULL,11
C100,2,Clear 1.5M Bin,CH221274,2021-07-30 00:00:00.0000000,20210730,1480337,84.900,VRP,2024-07-30 00:00:00.0000000,S3,NULL,NULL,1,1.000,0,NULL,21
NULL,1,Clear 1.1M Bin,CH195857,2019-09-01 00:00:00.0000000,20190901,51049,20.250,VRP,2021-08-31 00:00:00.0000000,D,60,General Dry Waste only,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
C160,R,Clear 3.0M Bin,CH187404,2018-02-01 00:00:00.0000000,20180201,491182,249.250,VRP,2020-02-01 00:00:00.0000000,S2,NULL,NULL,0,1.000,0,NULL,REQ
NULL,D,Rent Daily PortableToilet,CH210236,2020-07-30 00:00:00.0000000,NULL,427416,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
C80,2,Clear 3.0M Bin,CH236090,2017-12-05 00:00:00.0000000,20171205,425868,103.840,VRP,2020-12-05 00:00:00.0000000,S3,NULL,NULL,0,1.000,0,NULL,21
E166,R,Clear 3.0M Bin,CH188004,2016-10-01 00:00:00.0000000,20161001,685248,107.300,VRP,2017-09-30 00:00:00.0000000,N,NULL,NULL,0,1.000,0,NULL,REQ
NULL,1,Clear Cust 40M Recyc Pack,CH132172,2020-01-01 00:00:00.0000000,20200101,186235,0.000,VRP,2022-12-31 00:00:00.0000000,D,20,Plastic-LDPE Recycle,1,1.000,0,NULL,11
NULL,R,Clear 23M Skip Bin,CH253369,2018-04-24 00:00:00.0000000,20180424,289474,620.000,VRP,2021-03-02 00:00:00.0000000,N,NULL,NULL,0,1.000,0,NULL,REQ
C100,R,Clear 3.0M Bin,CH421114,2020-05-26 00:00:00.0000000,20200526,598790,82.440,VRP,2023-05-25 00:00:00.0000000,R3,NULL,NULL,1,1.000,0,NULL,REQ
BFVBABBA2C,2,Clear 3.0M Recycle Bin,CH125690,2019-10-01 00:00:00.0000000,20191001,611202,22.580,VRP,2022-09-30 00:00:00.0000000,D,NULL,NULL,1,1.000,0,NULL,21
NULL,M,Rent Monthly 660LT Cart,CH60333,2020-04-24 00:00:00.0000000,20200424,667135,6.200,VRP,2023-04-24 00:00:00.0000000,RN,NULL,NULL,0,1.000,0,NULL,NULL
NULL,Y00,12 Mth Rent 3.0M Bin,CH119520,2019-12-20 00:00:00.0000000,20191220,630087,0.000,VRP,2022-12-20 00:00:00.0000000,R3,NULL,NULL,0,1.000,0,NULL,NULL
NULL,1,Clear Customer 30M Packer,CH456667,2021-05-02 00:00:00.0000000,20210502,572098,185.700,VRP,2022-05-02 00:00:00.0000000,R1,NULL,NULL,1,1.000,0,NULL,11
E25,1,Clear 1100LT Recycle Cart,CH297427,2020-07-01 00:00:00.0000000,20200701,790072,21.420,VRP,2022-06-30 00:00:00.0000000,R2,NULL,NULL,1,1.000,0,NULL,11
NULL,W,Rent 2.0M Bin,CH62098,2019-01-10 00:00:00.0000000,20190110,610240,1.850,VRP,2021-01-09 00:00:00.0000000,SN,NULL,NULL,0,1.000,0,NULL,NULL
NULL,W,Rent 240LT Co-Mingle Cart,CH250294,2020-12-10 00:00:00.0000000,20201210,618703,1.200,VRP,2023-12-10 00:00:00.0000000,R3,NULL,NULL,0,2.000,0,NULL,NULL
NULL,2,Charge Weighbridge,CH210934,2020-05-01 00:00:00.0000000,20200501,594704,30.000,VRP,2021-07-01 00:00:00.0000000,D,NULL,NULL,0,1.000,1,2021-08-31 07:48:37.9030000,NULL
NULL,D,Rent Daily PortableToilet,CH232898,2021-03-03 00:00:00.0000000,20210303,893806,3.571,VRP,2022-06-30 00:00:00.0000000,T,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
c50,R,Clear 1.5M Recycle Bin,CH68309,2018-10-08 00:00:00.0000000,20181008,546131,55.060,VRP,2021-10-07 00:00:00.0000000,SN,NULL,NULL,0,1.000,0,NULL,REQ
NULL,M,Mth Chg Nappy Wrap Unit,CH110169,2009-06-30 00:00:00.0000000,20090630,741846,106.490,VRP,2011-06-30 00:00:00.0000000,S2,NULL,NULL,0,1.000,0,NULL,NULL
NULL,R,Bin Liners,CH234389,2018-01-17 00:00:00.0000000,NULL,67105,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
E269,R,Clear 3.0M Bin,CH26767,2015-02-03 00:00:00.0000000,20150203,731952,186.470,VRP,2017-02-03 00:00:00.0000000,R2,NULL,NULL,0,1.000,0,NULL,REQ
BAACAEBANI,1,Clear 240LT Cart,CH279432,2019-06-19 00:00:00.0000000,20190619,804603,14.260,VRP,2020-06-19 00:00:00.0000000,T,NULL,NULL,0,1.000,0,NULL,11
NULL,R,Clear 6.0M Bin (LO),CH517758,2020-08-31 00:00:00.0000000,NULL,813635,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
c120,R,Clear 240LT Cart,CH221797,2020-08-01 00:00:00.0000000,20200801,666028,23.320,VRP,2022-07-31 00:00:00.0000000,S2,NULL,NULL,1,1.000,0,NULL,REQ
C60,R,Clear 3.0M Recycle Bin,CH134089,2021-02-11 00:00:00.0000000,20210211,888761,23.690,VRP,2024-02-11 00:00:00.0000000,S3,NULL,NULL,1,1.000,0,NULL,REQ
NULL,Y00,12 Mth Rent 1100LT Cart,CH73705,2021-08-01 00:00:00.0000000,20210801,434156,0.000,VRP,2022-07-31 00:00:00.0000000,D,NULL,NULL,0,1.000,0,NULL,NULL
NULL,Y00,12 Mth Rent 3.0M Bin,CH32036,2021-06-08 00:00:00.0000000,20210608,275045,0.000,VRP,2024-06-07 00:00:00.0000000,SN,NULL,NULL,0,2.000,0,NULL,NULL
NULL,R,Clear 6.0M Skip Bin,CH244038,2021-06-23 00:00:00.0000000,20210623,1444366,380.000,VRP,2021-09-23 00:00:00.0000000,T,NULL,NULL,0,1.000,1,2021-09-16 19:43:16.2690000,NULL
NULL,R,Tip P/Tonne 10M Bin (HL),CH138624,2021-08-17 00:00:00.0000000,20210817,1492127,220.000,VRP,2021-11-17 00:00:00.0000000,T,NULL,NULL,0,1.000,0,NULL,REQ
NULL,W,Rent 3.0M Recycle Bin,CH158023,2017-09-13 00:00:00.0000000,20170913,799550,3.000,VRP,2022-09-13 00:00:00.0000000,SN,NULL,NULL,0,1.000,0,NULL,NULL
NULL,R,Clear 20M Bin (HL),CH234634,2021-06-23 00:00:00.0000000,20210623,1444538,690.000,VRP,2021-09-23 00:00:00.0000000,T,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
E60,1,Clear 1100LT Cart WsteSpc,CH73562,2015-10-01 00:00:00.0000000,20151001,589206,52.100,VRP,2018-09-30 00:00:00.0000000,R3,NULL,NULL,0,2.000,0,NULL,11
E80,1,Clear 660LT Cart,CH99673,2014-10-01 00:00:00.0000000,20141001,788779,29.090,VRP,2017-10-01 00:00:00.0000000,D,NULL,NULL,0,2.000,0,NULL,11
C80,4,Clear 1100LT Cart,CH210835,2019-05-13 00:00:00.0000000,20190513,587021,38.200,VRP,2022-05-13 00:00:00.0000000,SN,NULL,NULL,1,1.000,0,NULL,44
NULL,R,Clear 20M Bin (HL),CH189619,2021-03-19 00:00:00.0000000,20210319,457106,425.400,VRP,2022-03-19 00:00:00.0000000,R1,NULL,NULL,1,1.000,0,NULL,REQ
C5,1,Clear Plastic Bag Nil Chg,CH106114,2020-01-01 00:00:00.0000000,20200101,706228,0.000,VRP,2022-12-31 00:00:00.0000000,D,20,Plastic-LDPE Recycle,1,1.000,0,NULL,11
C60,1,Clear 1.1M Bin,CH163246,2020-08-24 00:00:00.0000000,20200824,160022,33.470,VRP,2022-08-24 00:00:00.0000000,RN,60,General Dry Waste only,1,1.000,0,NULL,11
NULL,4,Clear 120LT Conf Cart,CH210344,2020-07-14 00:00:00.0000000,20200714,372769,52.210,VRP,2023-07-13 00:00:00.0000000,SN,NULL,NULL,1,1.000,0,NULL,43
C50,1,Clear 240LT Co-Mingle Car,CH250292,2020-12-10 00:00:00.0000000,20201210,690010,8.110,VRP,2023-12-10 00:00:00.0000000,R3,NULL,NULL,1,2.000,0,NULL,11
NULL,2,Weight of Quarantine KGS,CH235145,2019-09-01 00:00:00.0000000,20190901,32906,0.000,VRP,2021-08-31 00:00:00.0000000,D,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
E40,4,Clear 3.0M Recycle Bin,CH65254,2008-12-09 00:00:00.0000000,20081209,644745,41.600,VRP,2024-07-01 00:00:00.0000000,D,NULL,NULL,1,1.000,0,NULL,41
NULL,R,Tip P/Tonne 10M Bin,CH249313,2021-08-03 00:00:00.0000000,20210803,1482516,108.000,VRP,2021-11-03 00:00:00.0000000,T,NULL,NULL,0,1.000,1,2021-08-31 07:48:37.9030000,NULL
NULL,W,Rent 3.0M Bin,CH208194,2020-01-24 00:00:00.0000000,20200124,794708,1.500,VRP,2021-01-24 00:00:00.0000000,S1,NULL,NULL,0,1.000,0,NULL,NULL
NULL,M,Rent Monthly 3.0m Bin,CH217337,2020-07-01 00:00:00.0000000,20200701,591170,24.720,VRP,2022-06-30 00:00:00.0000000,SO,NULL,NULL,0,1.000,0,NULL,NULL
NULL,1,Clear 30M Rec Nil Charge,CH132271,2020-01-01 00:00:00.0000000,20200101,52429,0.000,VRP,2022-12-31 00:00:00.0000000,D,10,Cardboard Recycle,1,1.000,0,NULL,11
C50,6,Clear 1100LT Recycle Cart,CH261262,2019-07-03 00:00:00.0000000,20190703,574098,23.050,VRP,2021-07-03 00:00:00.0000000,R2,NULL,NULL,0,1.000,0,NULL,62
E60,2,Clear 3.0M Bin,CH59931,2019-10-15 00:00:00.0000000,20191015,731504,45.030,VRP,2020-06-30 00:00:00.0000000,N,NULL,NULL,0,1.000,0,NULL,21
NULL,4,Service Sanitary Bin,CH209111,2020-03-02 00:00:00.0000000,20200302,496593,39.590,VRP,2024-03-02 00:00:00.0000000,S4,NULL,NULL,1,1.000,0,NULL,41
C40,1,Clear 1100LT Co-Mingle Ni,CH219289,2021-05-18 00:00:00.0000000,20210518,1420064,0.000,VRP,2024-05-18 00:00:00.0000000,D,NULL,NULL,1,2.000,0,NULL,11
C50,1,Clear 660LT Co-Mingle Car,CH68851,2021-11-08 00:00:00.0000000,20211108,725922,15.350,VRP,2022-11-08 00:00:00.0000000,S1,NULL,NULL,1,2.000,0,NULL,11
c100,R,Clear 3.0M Bin,CH115796,2018-08-02 00:00:00.0000000,20180802,561306,125.510,VRP,2021-08-01 00:00:00.0000000,SN,NULL,NULL,0,1.000,0,NULL,REQ
BD5BABBA2C,1,Clear 3.0M Recycle Bin,CH498679,2019-10-01 00:00:00.0000000,20191001,556203,15.010,VRP,2022-09-30 00:00:00.0000000,D,NULL,NULL,1,1.000,0,NULL,11
NULL,2,Clear 1.5M Recycle Bin,CH195460,2021-01-01 00:00:00.0000000,20210101,731848,16.000,VRP,2026-12-31 00:00:00.0000000,N,NULL,NULL,0,1.000,0,NULL,22
C100,1,Clear 4.5M Bin,CH12804,2021-08-30 00:00:00.0000000,20210830,134944,140.250,VRP,2024-08-30 00:00:00.0000000,R3,60,General Dry Waste only,1,1.000,0,NULL,11
NULL,M,Rent Monthly 3.0m Bin,CH233592,2021-05-26 00:00:00.0000000,20210526,1425882,31.020,VRP,2021-12-31 00:00:00.0000000,SO,NULL,NULL,0,1.000,0,NULL,NULL
NULL,Y00,12 Mth Rent 3.0M Bin,CH220367,2021-10-01 00:00:00.0000000,20211001,537012,0.000,VRP,2022-10-01 00:00:00.0000000,SN,NULL,NULL,0,3.000,0,NULL,NULL
NULL,R,Clear 3.0M Skip Bin,CH242019,2021-06-02 00:00:00.0000000,20210602,1430036,272.000,VRP,2021-09-02 00:00:00.0000000,T,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
E338,2,Clear 3.0M Bin,CH119519,2019-12-20 00:00:00.0000000,20191220,456920,121.570,VRP,2022-12-20 00:00:00.0000000,R3,NULL,NULL,1,1.000,0,NULL,21
NULL,1,Clear 6.0M Bin (HL),CH117342,2017-09-13 00:00:00.0000000,20170913,784406,171.060,VRP,2020-08-30 00:00:00.0000000,D,NULL,NULL,0,1.000,0,NULL,11
c100,3,Clear 1.5M Bin,CH131752,2020-08-05 00:00:00.0000000,20200805,790028,67.230,VRP,2021-08-04 00:00:00.0000000,SN,NULL,NULL,1,NULL,1,2021-08-31 07:48:37.9030000,NULL
C100,4,Clear 660LT Cart,CH223615,2020-05-11 00:00:00.0000000,20200511,139554,37.140,VRP,2023-05-11 00:00:00.0000000,RN,60,General Dry Waste only,1,1.000,0,NULL,42
NULL,R,Charge Secure Burial,CH138625,2021-08-17 00:00:00.0000000,20210817,1491859,185.000,VRP,2021-11-17 00:00:00.0000000,T,NULL,NULL,0,1.000,0,NULL,REQ
NULL,4,Service Sanitary Bin,CH101211,2017-08-16 00:00:00.0000000,NULL,11569,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
C80,1,Clear 240LT Cart,CH298945,2020-07-27 00:00:00.0000000,20200727,752664,15.760,VRP,2022-07-27 00:00:00.0000000,S2,NULL,NULL,1,1.000,0,NULL,11
NULL,R,Clear 30M Bin (HL),CH228460,2021-01-21 00:00:00.0000000,20210121,874971,195.000,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
NULL,4,Aerosol Freshener Service,CH185523,2019-11-01 00:00:00.0000000,20191101,288597,10.700,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
C80,R,Clear 4.5M Bin,CH67685,2021-03-16 00:00:00.0000000,20210316,897179,97.940,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
c160,1,Clr 3.0M Org Bin Nil Chg,CH214500,2020-01-01 00:00:00.0000000,20200101,815530,0.000,VRP,2022-12-31 00:00:00.0000000,D,40,Organic,1,2.000,0,NULL,11
E80,1,Contract Clear 240LT Cart,CH214537,2021-07-01 00:00:00.0000000,20210701,632137,0.000,VRP,2022-06-30 00:00:00.0000000,SO,NULL,NULL,1,1.000,0,NULL,11
c90,2,Clear 240LT Cart,CH197542,2018-05-01 00:00:00.0000000,20180501,73889,20.580,VRP,2021-05-01 00:00:00.0000000,RN,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
BMHBAEBAYF,2,Clear 1.5M Bin,CH220301,2019-10-01 00:00:00.0000000,20191001,595944,36.280,VRP,2022-09-30 00:00:00.0000000,D,NULL,NULL,1,1.000,0,2021-11-15 01:51:51.6720000,22
NULL,W,Rent 50LT Clinical Bin,CH239793,2017-01-31 00:00:00.0000000,20170131,715003,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
E125,8,Clear 3.0M Bin,CH214389,2020-07-01 00:00:00.0000000,20200701,480493,151.980,VRP,2022-06-30 00:00:00.0000000,SO,NULL,NULL,1,1.000,0,NULL,85
C60,1,Clear 1.1M Bin,CH62152,2020-10-29 00:00:00.0000000,20201029,538653,34.800,VRP,2021-10-29 00:00:00.0000000,R1,60,General Dry Waste only,0,1.000,0,NULL,11
DCXBACBA2F,1,Clear 3.0M Co-Mingle Bin,CH528697,2019-07-01 00:00:00.0000000,20190701,1393487,22.060,VRP,2024-06-30 00:00:00.0000000,D,NULL,NULL,1,1.000,0,NULL,11
C60,6,Clear 1100LT Co-Mingle Ca,CH210692,2019-10-16 00:00:00.0000000,20191016,581984,16.940,VRP,2020-10-15 00:00:00.0000000,S1,NULL,NULL,0,1.000,0,NULL,66
E165,R,Clear 3.0M Bin,CH233587,2021-05-26 00:00:00.0000000,20210526,1425359,256.110,VRP,2021-12-31 00:00:00.0000000,SO,NULL,NULL,1,1.000,0,NULL,REQ
NULL,R,Clear 12M Bin (HL),CH63738,2020-08-01 00:00:00.0000000,20200801,659964,230.200,VRP,2022-08-01 00:00:00.0000000,R2,60,General Dry Waste only,1,1.000,0,NULL,NULL
E30,1,Clear 240LT Recycle Cart,CH188653,2018-04-01 00:00:00.0000000,20180401,718528,6.760,VRP,2020-04-01 00:00:00.0000000,R2,NULL,NULL,0,10.000,0,NULL,11
NULL,R,Tip P/Tonne 31M Skip Bin,CH257870,2019-08-09 00:00:00.0000000,20190809,94220,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
NULL,R,Clear 12M Bin (HL),CH64649,2020-08-01 00:00:00.0000000,20200801,592238,230.200,VRP,2022-08-01 00:00:00.0000000,R2,NULL,NULL,1,1.000,0,NULL,NULL
NULL,1,Clear 1.5M Bin,CH185524,2019-11-01 00:00:00.0000000,NULL,315743,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
NULL,W,Wk Charge Cart,CH173591,2017-07-12 00:00:00.0000000,20170712,712183,53.190,VRP,2019-07-11 00:00:00.0000000,R2,NULL,NULL,0,1.000,0,NULL,NULL
NULL,1,Clear 240LT Co-Mingle Car,CH201050,2019-08-21 00:00:00.0000000,20190821,494581,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
DCXAAQDAAA,12,Grease Trap Service P/LTR,CH514013,2019-07-01 00:00:00.0000000,20190701,547308,0.170,VRP,2024-06-30 00:00:00.0000000,D,NULL,NULL,1,2000.000,0,NULL,C8
C120,4,Clear 3.0M Bin,CH178774,2017-04-30 00:00:00.0000000,20170430,510939,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
NULL,V,Grease Trap Serv P/Hour,CH227240,2016-04-26 00:00:00.0000000,20160426,864671,185.110,VRP,2018-04-26 00:00:00.0000000,S2,NULL,NULL,0,1.000,1,2021-09-15 19:50:34.5260000,NULL
DCXAAQDAAA,8,Grease Trap Service P/LTR,CH514009,2019-07-01 00:00:00.0000000,20190701,545499,0.170,VRP,2024-06-30 00:00:00.0000000,D,NULL,NULL,1,2254.000,0,NULL,85
NULL,D,Rent Daily PortableToilet,CH254986,2021-10-07 00:00:00.0000000,20211007,1524011,5.100,VRP,2022-10-07 00:00:00.0000000,T,NULL,NULL,0,1.000,0,NULL,NULL
NULL,Y00,12 Mth Rent 6.0M Recycle,CH73703,2021-08-01 00:00:00.0000000,20210801,375107,0.000,VRP,2022-07-31 00:00:00.0000000,D,NULL,NULL,0,1.000,0,NULL,NULL
NULL,D,Rent Daily PortableToilet,CH215814,2020-09-16 00:00:00.0000000,NULL,820443,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
NULL,W,Rent 3.0M Bin,CH421116,2020-05-26 00:00:00.0000000,20200526,652415,2.300,VRP,2023-05-25 00:00:00.0000000,R3,NULL,NULL,0,1.000,0,NULL,NULL
NULL,R,Clear 12M Bin (HL),CH64346,2020-08-01 00:00:00.0000000,20200801,700954,230.200,VRP,2022-08-01 00:00:00.0000000,R2,60,General Dry Waste only,1,1.000,0,NULL,NULL
C80,1,Clear 4.5M Bin,CH295063,2020-05-25 00:00:00.0000000,20200525,506552,166.770,VRP,2022-05-25 00:00:00.0000000,R2,NULL,NULL,1,1.000,0,NULL,11
E35,1,Clear 4.5M Recycle Bin,CH49339,2020-07-01 00:00:00.0000000,20200701,546054,15.000,VRP,2023-06-30 00:00:00.0000000,R3,NULL,NULL,1,1.000,0,NULL,11
E80,1,Clear 3.0M Bin,CH122075,2019-10-01 00:00:00.0000000,20191001,509773,80.140,VRP,2020-09-30 00:00:00.0000000,X,NULL,NULL,0,1.000,0,NULL,11
C100,2,Clear 3.0M Bin,CH212653,2019-07-03 00:00:00.0000000,20190703,599410,132.250,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
E25,R,Clear 1.5M Recycle Bin,CH500643,2020-05-01 00:00:00.0000000,20200501,518738,31.420,VRP,2023-04-30 00:00:00.0000000,D,NULL,NULL,1,1.000,0,NULL,REQ
DACEAEDAAK,R,Tip P/Tonne 9.0M Bin (LO),CH187558,2019-05-15 00:00:00.0000000,20190515,779948,46.760,VRP,2022-05-14 00:00:00.0000000,D,NULL,NULL,1,1.000,0,NULL,REQ
NULL,R,Clear 4.0M Skip Bin,CH256260,2019-06-28 00:00:00.0000000,NULL,135083,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
NULL,R,Clear 240LT Conf Cart,CH232966,2020-08-28 00:00:00.0000000,NULL,683370,NULL,VRP,NULL,NULL,NULL,NULL,0,NULL,1,2021-08-31 07:48:37.9030000,NULL
NULL,1,Tip P/Tonne 30M Packer,CH507176,2021-05-02 00:00:00.0000000,20210502,595417,40.510,VRP,2022-05-02 00:00:00.0000000,R1,NULL,NULL,1,1.000,0,NULL,11
NULL,R,WasteSafe Service P/LTR,CH305357,2020-12-01 00:00:00.0000000,20201201,845222,226.380,VRP,2021-12-01 00:00:00.0000000,S1,NULL,NULL,1,1.000,0,NULL,REQ
NULL,2,PortableToilet ServNilChg,CH249555,2021-07-12 00:00:00.0000000,20210712,1491901,0.000,VRP,2022-06-30 00:00:00.0000000,T,NULL,NULL,0,1.000,0,NULL,NULL
C100,1,Clear 1.1M Bin,CH47204,2019-10-07 00:00:00.0000000,20191007,547659,31.750,VRP,2020-10-07 00:00:00.0000000,RN,60,General Dry Waste only,0,1.000,0,NULL,11
